Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.682085
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.670468
[2]	validation_0-logloss:0.660626
[3]	validation_0-logloss:0.651609
[4]	validation_0-logloss:0.642804
[5]	validation_0-logloss:0.635135
[6]	validation_0-logloss:0.628593
[7]	validation_0-logloss:0.62445
[8]	validation_0-logloss:0.618059
[9]	validation_0-logloss:0.610795
[10]	validation_0-logloss:0.608103
[11]	validation_0-logloss:0.603195
[12]	validation_0-logloss:0.600778
[13]	validation_0-logloss:0.600458
[14]	validation_0-logloss:0.596295
[15]	validation_0-logloss:0.593643
[16]	validation_0-logloss:0.592315
[17]	validation_0-logloss:0.589631
[18]	validation_0-logloss:0.586307
[19]	validation_0-logloss:0.585861
[20]	validation_0-logloss:0.583304
[21]	validation_0-logloss:0.580847
[22]	validation_0-logloss:0.577851
[23]	validation_0-logloss:0.576019
[24]	validation_0-logloss:0.574218
[25]	validation_0-logloss:0.572531
[26]	validation_0-logloss:0.571716
[27]	validation_0-logloss:0.569079
[28]	validation_0-logloss:0.569767
[29]	validation_0-logloss:0.569533
[30]	validation_0-logloss:0.568115
[31]	validation_0-logloss:0.565566
[32]	validation_0-logloss:0.56568
[33]	validation_0-logloss:0.566566
[34]	validation_0-logloss:0.567113
[35]	validation_0-logloss:0.566278
[36]	validation_0-logloss:0.566984
[37]	validation_0-logloss:0.566338
[38]	validation_0-logloss:0.566112
[39]	validation_0-logloss:0.56612
[40]	validation_0-logloss:0.566298
[41]	validation_0-logloss:0.566794
[42]	validation_0-logloss:0.566969
[43]	validation_0-logloss:0.567009
[44]	validation_0-logloss:0.568078
[45]	validation_0-logloss:0.566495
[46]	validation_0-logloss:0.566903
[47]	validation_0-logloss:0.567302
[48]	validation_0-logloss:0.566959
[49]	validation_0-logloss:0.568229
[50]	validation_0-logloss:0.568398
[51]	validation_0-logloss:0.568525
[52]	validation_0-logloss:0.568356
[53]	validation_0-logloss:0.569406
[54]	validation_0-logloss:0.570325
[55]	validation_0-logloss:0.571602
[56]	validation_0-logloss:0.57185
[57]	validation_0-logloss:0.572049
[58]	validation_0-logloss:0.57142
[59]	validation_0-logloss:0.572528
[60]	validation_0-logloss:0.573288
[61]	validation_0-logloss:0.574172
[62]	validation_0-logloss:0.575014
[63]	validation_0-logloss:0.574899
[64]	validation_0-logloss:0.574573
[65]	validation_0-logloss:0.574941
[66]	validation_0-logloss:0.574833
[67]	validation_0-logloss:0.573749
[68]	validation_0-logloss:0.573808
[69]	validation_0-logloss:0.574696
[70]	validation_0-logloss:0.57413
[71]	validation_0-logloss:0.57434
[72]	validation_0-logloss:0.573854
[73]	validation_0-logloss:0.574045
[74]	validation_0-logloss:0.574315
[75]	validation_0-logloss:0.574182
[76]	validation_0-logloss:0.57537
[77]	validation_0-logloss:0.574915
[78]	validation_0-logloss:0.574613
[79]	validation_0-logloss:0.574467
[80]	validation_0-logloss:0.574416
[81]	validation_0-logloss:0.574764
[82]	validation_0-logloss:0.575165
[83]	validation_0-logloss:0.574039
[84]	validation_0-logloss:0.57404
[85]	validation_0-logloss:0.574097
[86]	validation_0-logloss:0.573702
[87]	validation_0-logloss:0.573645
[88]	validation_0-logloss:0.574013
[89]	validation_0-logloss:0.574124
[90]	validation_0-logloss:0.574508
[91]	validation_0-logloss:0.574744
[92]	validation_0-logloss:0.574481
[93]	validation_0-logloss:0.573967
[94]	validation_0-logloss:0.573904
[95]	validation_0-logloss:0.573532
[96]	validation_0-logloss:0.573069
[97]	validation_0-logloss:0.572879
[98]	validation_0-logloss:0.573161
[99]	validation_0-logloss:0.573572
[100]	validation_0-logloss:0.573924
[101]	validation_0-logloss:0.573683
[102]	validation_0-logloss:0.57339
[103]	validation_0-logloss:0.573786
[104]	validation_0-logloss:0.573802
[105]	validation_0-logloss:0.573973
[106]	validation_0-logloss:0.573759
[107]	validation_0-logloss:0.574052
[108]	validation_0-logloss:0.574351
[109]	validation_0-logloss:0.574667
[110]	validation_0-logloss:0.574983
[111]	validation_0-logloss:0.574749
[112]	validation_0-logloss:0.575046
[113]	validation_0-logloss:0.575208
[114]	validation_0-logloss:0.574972
[115]	validation_0-logloss:0.574717
[116]	validation_0-logloss:0.574461
[117]	validation_0-logloss:0.574886
[118]	validation_0-logloss:0.574693
[119]	validation_0-logloss:0.574871
[120]	validation_0-logloss:0.574611
[121]	validation_0-logloss:0.575082
[122]	validation_0-logloss:0.575019
[123]	validation_0-logloss:0.575103
[124]	validation_0-logloss:0.575083
[125]	validation_0-logloss:0.574917
[126]	validation_0-logloss:0.574607
[127]	validation_0-logloss:0.574596
[128]	validation_0-logloss:0.574762
[129]	validation_0-logloss:0.574665
[130]	validation_0-logloss:0.574496
[131]	validation_0-logloss:0.574574
Stopping. Best iteration:
[31]	validation_0-logloss:0.565566

Kaggle Test Data being obtained
Finished getting kaggle test data
