Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.683361
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.674465
[2]	validation_0-logloss:0.662905
[3]	validation_0-logloss:0.652471
[4]	validation_0-logloss:0.643905
[5]	validation_0-logloss:0.637866
[6]	validation_0-logloss:0.630822
[7]	validation_0-logloss:0.62667
[8]	validation_0-logloss:0.621482
[9]	validation_0-logloss:0.616675
[10]	validation_0-logloss:0.614251
[11]	validation_0-logloss:0.610457
[12]	validation_0-logloss:0.607999
[13]	validation_0-logloss:0.604867
[14]	validation_0-logloss:0.601329
[15]	validation_0-logloss:0.597182
[16]	validation_0-logloss:0.597543
[17]	validation_0-logloss:0.595238
[18]	validation_0-logloss:0.593513
[19]	validation_0-logloss:0.590977
[20]	validation_0-logloss:0.589402
[21]	validation_0-logloss:0.586619
[22]	validation_0-logloss:0.584675
[23]	validation_0-logloss:0.584273
[24]	validation_0-logloss:0.584379
[25]	validation_0-logloss:0.583712
[26]	validation_0-logloss:0.581768
[27]	validation_0-logloss:0.578893
[28]	validation_0-logloss:0.579224
[29]	validation_0-logloss:0.578158
[30]	validation_0-logloss:0.578054
[31]	validation_0-logloss:0.577627
[32]	validation_0-logloss:0.577216
[33]	validation_0-logloss:0.577219
[34]	validation_0-logloss:0.576227
[35]	validation_0-logloss:0.575725
[36]	validation_0-logloss:0.575391
[37]	validation_0-logloss:0.575909
[38]	validation_0-logloss:0.574168
[39]	validation_0-logloss:0.573988
[40]	validation_0-logloss:0.573574
[41]	validation_0-logloss:0.573728
[42]	validation_0-logloss:0.572251
[43]	validation_0-logloss:0.572946
[44]	validation_0-logloss:0.573119
[45]	validation_0-logloss:0.573389
[46]	validation_0-logloss:0.572919
[47]	validation_0-logloss:0.572851
[48]	validation_0-logloss:0.573193
[49]	validation_0-logloss:0.572665
[50]	validation_0-logloss:0.572784
[51]	validation_0-logloss:0.572426
[52]	validation_0-logloss:0.572388
[53]	validation_0-logloss:0.572643
[54]	validation_0-logloss:0.572668
[55]	validation_0-logloss:0.572512
[56]	validation_0-logloss:0.572415
[57]	validation_0-logloss:0.572807
[58]	validation_0-logloss:0.572738
[59]	validation_0-logloss:0.572961
[60]	validation_0-logloss:0.572815
[61]	validation_0-logloss:0.573538
[62]	validation_0-logloss:0.573782
[63]	validation_0-logloss:0.57328
[64]	validation_0-logloss:0.5731
[65]	validation_0-logloss:0.573185
[66]	validation_0-logloss:0.573512
[67]	validation_0-logloss:0.573274
[68]	validation_0-logloss:0.57361
[69]	validation_0-logloss:0.574432
[70]	validation_0-logloss:0.574672
[71]	validation_0-logloss:0.575814
[72]	validation_0-logloss:0.575223
[73]	validation_0-logloss:0.575342
[74]	validation_0-logloss:0.575103
[75]	validation_0-logloss:0.575157
[76]	validation_0-logloss:0.574924
[77]	validation_0-logloss:0.574379
[78]	validation_0-logloss:0.574579
[79]	validation_0-logloss:0.574112
[80]	validation_0-logloss:0.574304
[81]	validation_0-logloss:0.574359
[82]	validation_0-logloss:0.57495
[83]	validation_0-logloss:0.575464
[84]	validation_0-logloss:0.575455
[85]	validation_0-logloss:0.575248
[86]	validation_0-logloss:0.575281
[87]	validation_0-logloss:0.575091
[88]	validation_0-logloss:0.575151
[89]	validation_0-logloss:0.57536
[90]	validation_0-logloss:0.575896
[91]	validation_0-logloss:0.576052
[92]	validation_0-logloss:0.576106
[93]	validation_0-logloss:0.575855
[94]	validation_0-logloss:0.575716
[95]	validation_0-logloss:0.57535
[96]	validation_0-logloss:0.575422
[97]	validation_0-logloss:0.575579
[98]	validation_0-logloss:0.575497
[99]	validation_0-logloss:0.575387
[100]	validation_0-logloss:0.57505
[101]	validation_0-logloss:0.574731
[102]	validation_0-logloss:0.574721
[103]	validation_0-logloss:0.574644
[104]	validation_0-logloss:0.575426
[105]	validation_0-logloss:0.575315
[106]	validation_0-logloss:0.575111
[107]	validation_0-logloss:0.575316
[108]	validation_0-logloss:0.575586
[109]	validation_0-logloss:0.575751
[110]	validation_0-logloss:0.575485
[111]	validation_0-logloss:0.575789
[112]	validation_0-logloss:0.575928
[113]	validation_0-logloss:0.576312
[114]	validation_0-logloss:0.576647
[115]	validation_0-logloss:0.576773
[116]	validation_0-logloss:0.576978
[117]	validation_0-logloss:0.57662
[118]	validation_0-logloss:0.576419
[119]	validation_0-logloss:0.57666
[120]	validation_0-logloss:0.576673
[121]	validation_0-logloss:0.576707
[122]	validation_0-logloss:0.576656
[123]	validation_0-logloss:0.576591
[124]	validation_0-logloss:0.576507
[125]	validation_0-logloss:0.576505
[126]	validation_0-logloss:0.576395
[127]	validation_0-logloss:0.576283
[128]	validation_0-logloss:0.576345
[129]	validation_0-logloss:0.576532
[130]	validation_0-logloss:0.576286
[131]	validation_0-logloss:0.576522
[132]	validation_0-logloss:0.576552
[133]	validation_0-logloss:0.576829
[134]	validation_0-logloss:0.57712
[135]	validation_0-logloss:0.576948
[136]	validation_0-logloss:0.577039
[137]	validation_0-logloss:0.576634
[138]	validation_0-logloss:0.576486
[139]	validation_0-logloss:0.5763
[140]	validation_0-logloss:0.576059
[141]	validation_0-logloss:0.576209
[142]	validation_0-logloss:0.576621
Stopping. Best iteration:
[42]	validation_0-logloss:0.572251

Kaggle Test Data being obtained
Finished getting kaggle test data
