Train/Validation Data being obtained
Finished getting train/test data
[0]	validation_0-logloss:0.681823
Will train until validation_0-logloss hasn't improved in 100 rounds.
[1]	validation_0-logloss:0.670684
[2]	validation_0-logloss:0.662024
[3]	validation_0-logloss:0.651901
[4]	validation_0-logloss:0.641116
[5]	validation_0-logloss:0.634864
[6]	validation_0-logloss:0.627554
[7]	validation_0-logloss:0.62324
[8]	validation_0-logloss:0.618496
[9]	validation_0-logloss:0.611481
[10]	validation_0-logloss:0.610169
[11]	validation_0-logloss:0.605029
[12]	validation_0-logloss:0.60229
[13]	validation_0-logloss:0.601849
[14]	validation_0-logloss:0.596193
[15]	validation_0-logloss:0.594649
[16]	validation_0-logloss:0.592316
[17]	validation_0-logloss:0.590275
[18]	validation_0-logloss:0.586424
[19]	validation_0-logloss:0.582984
[20]	validation_0-logloss:0.578905
[21]	validation_0-logloss:0.577939
[22]	validation_0-logloss:0.576262
[23]	validation_0-logloss:0.573006
[24]	validation_0-logloss:0.572494
[25]	validation_0-logloss:0.571918
[26]	validation_0-logloss:0.571591
[27]	validation_0-logloss:0.569804
[28]	validation_0-logloss:0.570495
[29]	validation_0-logloss:0.569153
[30]	validation_0-logloss:0.569169
[31]	validation_0-logloss:0.568509
[32]	validation_0-logloss:0.567831
[33]	validation_0-logloss:0.567377
[34]	validation_0-logloss:0.566067
[35]	validation_0-logloss:0.566658
[36]	validation_0-logloss:0.564896
[37]	validation_0-logloss:0.564324
[38]	validation_0-logloss:0.563075
[39]	validation_0-logloss:0.563314
[40]	validation_0-logloss:0.562861
[41]	validation_0-logloss:0.561827
[42]	validation_0-logloss:0.560566
[43]	validation_0-logloss:0.560231
[44]	validation_0-logloss:0.558449
[45]	validation_0-logloss:0.558475
[46]	validation_0-logloss:0.55909
[47]	validation_0-logloss:0.558275
[48]	validation_0-logloss:0.559211
[49]	validation_0-logloss:0.559006
[50]	validation_0-logloss:0.55906
[51]	validation_0-logloss:0.558992
[52]	validation_0-logloss:0.559439
[53]	validation_0-logloss:0.559536
[54]	validation_0-logloss:0.560002
[55]	validation_0-logloss:0.559637
[56]	validation_0-logloss:0.560285
[57]	validation_0-logloss:0.560306
[58]	validation_0-logloss:0.560535
[59]	validation_0-logloss:0.561593
[60]	validation_0-logloss:0.561719
[61]	validation_0-logloss:0.562419
[62]	validation_0-logloss:0.562225
[63]	validation_0-logloss:0.562146
[64]	validation_0-logloss:0.56244
[65]	validation_0-logloss:0.561758
[66]	validation_0-logloss:0.562046
[67]	validation_0-logloss:0.562377
[68]	validation_0-logloss:0.561964
[69]	validation_0-logloss:0.561747
[70]	validation_0-logloss:0.561999
[71]	validation_0-logloss:0.562796
[72]	validation_0-logloss:0.563521
[73]	validation_0-logloss:0.56331
[74]	validation_0-logloss:0.564597
[75]	validation_0-logloss:0.565448
[76]	validation_0-logloss:0.565964
[77]	validation_0-logloss:0.566034
[78]	validation_0-logloss:0.56557
[79]	validation_0-logloss:0.566243
[80]	validation_0-logloss:0.567424
[81]	validation_0-logloss:0.567805
[82]	validation_0-logloss:0.567457
[83]	validation_0-logloss:0.567361
[84]	validation_0-logloss:0.566703
[85]	validation_0-logloss:0.567024
[86]	validation_0-logloss:0.567322
[87]	validation_0-logloss:0.567173
[88]	validation_0-logloss:0.567883
[89]	validation_0-logloss:0.567526
[90]	validation_0-logloss:0.568056
[91]	validation_0-logloss:0.568334
[92]	validation_0-logloss:0.568621
[93]	validation_0-logloss:0.568455
[94]	validation_0-logloss:0.568314
[95]	validation_0-logloss:0.568724
[96]	validation_0-logloss:0.568722
[97]	validation_0-logloss:0.568442
[98]	validation_0-logloss:0.568665
[99]	validation_0-logloss:0.568812
[100]	validation_0-logloss:0.568578
[101]	validation_0-logloss:0.568494
[102]	validation_0-logloss:0.567937
[103]	validation_0-logloss:0.568162
[104]	validation_0-logloss:0.568167
[105]	validation_0-logloss:0.568117
[106]	validation_0-logloss:0.56818
[107]	validation_0-logloss:0.568307
[108]	validation_0-logloss:0.568025
[109]	validation_0-logloss:0.568322
[110]	validation_0-logloss:0.568895
[111]	validation_0-logloss:0.568969
[112]	validation_0-logloss:0.568881
[113]	validation_0-logloss:0.569117
[114]	validation_0-logloss:0.569543
[115]	validation_0-logloss:0.569419
[116]	validation_0-logloss:0.569157
[117]	validation_0-logloss:0.569628
[118]	validation_0-logloss:0.569361
[119]	validation_0-logloss:0.569622
[120]	validation_0-logloss:0.569785
[121]	validation_0-logloss:0.56941
[122]	validation_0-logloss:0.569565
[123]	validation_0-logloss:0.569929
[124]	validation_0-logloss:0.569959
[125]	validation_0-logloss:0.569745
[126]	validation_0-logloss:0.569914
[127]	validation_0-logloss:0.569919
[128]	validation_0-logloss:0.570063
[129]	validation_0-logloss:0.570348
[130]	validation_0-logloss:0.570034
[131]	validation_0-logloss:0.570107
[132]	validation_0-logloss:0.57035
[133]	validation_0-logloss:0.570454
[134]	validation_0-logloss:0.570639
[135]	validation_0-logloss:0.570583
[136]	validation_0-logloss:0.570958
[137]	validation_0-logloss:0.57096
[138]	validation_0-logloss:0.571
[139]	validation_0-logloss:0.57129
[140]	validation_0-logloss:0.571427
[141]	validation_0-logloss:0.571517
[142]	validation_0-logloss:0.571594
[143]	validation_0-logloss:0.571274
[144]	validation_0-logloss:0.571262
[145]	validation_0-logloss:0.571559
[146]	validation_0-logloss:0.571582
[147]	validation_0-logloss:0.571594
Stopping. Best iteration:
[47]	validation_0-logloss:0.558275

Kaggle Test Data being obtained
Finished getting kaggle test data
